Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
29130,137,29025,54,463,13306,49,15879,7352,1411,797,675,95,917,18,7210,974,2223,5239,Ivory Park Ext 9
165,4,139,7,262,218,17,170,13,5,24,1,0,1,223,9,13,10,36,Abbotsford
13,0,11,0,0,1,0,10,1,0,0,0,0,1,0,1,0,0,3,Aeroton
1772,242,1075,441,1115,1233,254,1050,70,151,121,8,1,27,507,109,16,76,302,Alan Manor
3421,64,3279,114,443,1823,26,1670,318,472,367,42,17,217,70,189,52,280,961,Alveda
17,0,14,1,2,49,0,59,0,0,2,0,0,0,0,4,1,0,0,Amalgam
882,154,501,101,915,817,278,739,25,96,50,6,5,21,654,48,19,39,110,Aspen Hills Nature Estate
2236,539,1693,109,1278,1737,432,1540,141,161,224,59,0,49,980,38,54,123,294,Auckland Park
137,9,131,4,130,131,0,98,7,1,15,0,0,1,82,7,20,6,29,Bagleyston
2007,521,1133,157,3063,2475,715,2158,89,191,119,9,18,31,2507,42,19,78,237,Bassonia
9163,82,8958,154,2110,4543,49,4780,387,165,259,106,45,90,145,72,1159,314,2447,Bellevue
8275,80,8047,190,2054,4178,36,4354,221,172,234,149,91,60,174,85,1144,348,2349,Bellevue East
10,4,5,0,17,11,3,12,0,0,2,0,0,0,15,0,0,0,0,Benrose
42322,332,41559,396,5540,20947,365,21854,2109,1011,1475,352,299,1506,305,1048,7986,1941,14003,Berea
3441,423,3011,297,631,1907,131,1999,232,175,132,44,13,45,418,76,279,254,793,Bertrams
8008,537,5928,927,4186,4524,1151,4728,139,196,199,71,31,75,1032,135,329,274,1516,Bezuidenhout Valley
376,58,294,13,647,520,67,464,40,19,59,1,2,7,588,5,24,8,67,Birdhaven
746,96,581,48,914,822,115,802,40,30,40,4,2,7,862,9,47,29,98,Birnam
2923,153,2325,126,748,1555,470,1608,162,185,215,56,16,61,227,140,117,343,539,Booysens
55,0,53,0,3,27,0,26,2,8,3,0,0,1,0,2,1,12,21,Booysens Reserve
1406,106,1197,64,707,919,143,851,94,93,148,7,5,12,360,41,84,87,298,Bramley
4643,45,4437,68,538,2494,136,2212,981,328,688,51,19,184,61,208,137,286,997,Bramley View
3638,381,3060,304,1000,2060,272,2007,258,263,485,112,27,148,373,112,105,161,485,Brixton
1278,132,737,79,1546,1183,460,1077,19,31,33,10,4,3,903,12,30,33,61,Bruma
373,56,235,19,651,481,117,430,53,18,33,9,0,5,541,9,6,9,45,Bushwillow Park
212,57,174,7,710,480,29,408,12,15,21,5,1,1,663,1,25,2,31,Cheltondale
749,192,312,203,649,570,232,563,30,33,22,2,0,0,348,7,17,27,115,Chrisville
2714,25,2703,7,198,1284,2,1435,120,86,54,27,8,51,5,76,146,161,1466,City and Suburban
1340,4,1337,0,29,329,1,1009,362,52,27,10,0,119,0,116,10,389,217,City Deep Gold Mine
2321,9,2280,37,57,1086,2,1255,143,83,55,32,2,46,20,127,59,211,1149,Cleveland
525,91,378,129,186,271,16,302,15,51,27,6,0,18,49,25,11,32,87,Comptonville
1577,65,1282,80,1238,1241,213,994,160,82,149,19,5,41,650,38,38,79,260,Corlett Gardens
4794,294,2915,1846,1740,2375,31,2473,237,305,1446,23,8,90,34,121,37,153,284,Coronationville
1288,4,1207,47,22,1001,32,402,4,8,23,8,1,0,106,8,17,7,20,Cottesloe
8,1,4,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,1,Croesus
5212,846,1269,377,3890,3138,3564,2973,83,145,223,14,12,33,781,63,84,62,184,Crosby
468,7,460,6,29,171,0,295,7,68,18,2,6,16,0,24,41,65,104,Crown
2634,885,1042,693,1767,2190,897,1920,99,129,91,21,7,40,1188,57,33,75,299,Crown Gardens
150,23,124,24,10,59,0,95,24,9,24,0,1,13,6,6,1,15,28,Crown Mine
736,23,61,7,606,437,666,365,7,10,9,3,6,2,0,4,3,1,2,Crown North
280,2,278,0,19,150,0,142,62,16,46,3,1,0,0,8,14,9,101,Crystal Gardens
2170,115,905,103,1905,1686,1160,1731,72,40,29,16,7,17,1061,21,46,37,127,Cyrildene
7150,43,7104,25,163,2052,19,5205,150,117,134,61,20,32,24,162,244,178,5804,Denver
38236,812,37550,635,3626,18935,49,19749,2342,4068,1368,524,147,1529,113,6874,636,5087,10907,Devland
865,177,521,191,739,778,151,647,21,27,23,19,8,2,547,13,28,44,75,Dewetshof
4430,29,4359,49,607,1822,20,2662,277,121,170,82,10,101,53,97,218,199,1106,Doornfontein
204,47,169,33,19,115,0,103,8,11,34,2,1,5,16,4,2,18,67,Doornkop Military Base
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorelan
2990,4,2985,2,10,111,1,2884,19,7,17,4,6,9,6,13,46,14,2829,Droste Park
507,11,437,19,227,303,49,306,23,24,25,6,1,11,103,8,28,21,115,Dunsevern
4572,72,4539,30,68,2007,1,2572,385,1137,240,77,29,181,6,543,245,534,925,Eikenhof
1319,36,1250,62,142,734,5,603,152,211,145,22,3,136,10,43,32,66,333,Eikenhof SP1
3400,758,2241,404,2006,2442,753,2347,111,297,186,25,13,74,1302,133,65,153,666,Elandspark
442,110,89,343,268,215,8,226,1,23,6,0,0,0,0,1,1,13,17,Eldorado Estate
64756,37230,8130,55884,23370,33993,740,31705,132,1052,825,78,186,120,116,234,160,363,1071,Eldorado Park
